dataset,dataset_params,perturbation,perturbation_params,alpha,seed,workflow,distribution_score,mean_shift_score,paired_score,runtime_seconds,memory_mb,status,error_message
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 100, ""num_nodes"": 50, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_addition_deletion,"{""alpha"": 0.0, ""edges_added"": 0, ""edges_removed"": 0, ""graphs"": 100, ""graphs_skipped"": 0, ""graphs_success"": 100, ""method"": ""edge_addition_deletion"", ""rewires"": 0, ""triangles_affected"": 0}",0.0,0,structural_statistics_mmd,0.0,0.0,0.0,4.113251593000086,0.0746307373046875,success,
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 100, ""num_nodes"": 50, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_addition_deletion,"{""alpha"": 0.0, ""edges_added"": 0, ""edges_removed"": 0, ""graphs"": 100, ""graphs_skipped"": 0, ""graphs_success"": 100, ""method"": ""edge_addition_deletion"", ""rewires"": 0, ""triangles_affected"": 0}",0.0,0,wl_subtree_kernel_mmd,0.0,0.0,0.0,0.4832998699998825,2.0834121704101562,success,
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 100, ""num_nodes"": 50, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_addition_deletion,"{""alpha"": 0.0, ""edges_added"": 0, ""edges_removed"": 0, ""graphs"": 100, ""graphs_skipped"": 0, ""graphs_success"": 100, ""method"": ""edge_addition_deletion"", ""rewires"": 0, ""triangles_affected"": 0}",0.0,0,netlsd_spectral_signatures,,,,0.5873552769999151,0.025536537170410156,failed,"Index put requires the source and destination dtypes match, got Double for the destination and Float for the source."
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 100, ""num_nodes"": 50, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_addition_deletion,"{""alpha"": 0.0, ""edges_added"": 0, ""edges_removed"": 0, ""graphs"": 100, ""graphs_skipped"": 0, ""graphs_success"": 100, ""method"": ""edge_addition_deletion"", ""rewires"": 0, ""triangles_affected"": 0}",0.0,0,diversity_curves_l2,0.0,0.0,0.0,1.3176581420000275,0.30008697509765625,success,
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 100, ""num_nodes"": 50, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_addition_deletion,"{""alpha"": 0.1, ""edges_added"": 740, ""edges_removed"": 699, ""graphs"": 100, ""graphs_skipped"": 0, ""graphs_success"": 100, ""method"": ""edge_addition_deletion"", ""rewires"": 0, ""triangles_affected"": 0}",0.1,0,structural_statistics_mmd,0.0008841446675268427,0.4705773522133257,2.450642865816698,4.1228482310000345,0.06821441650390625,success,
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 100, ""num_nodes"": 50, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_addition_deletion,"{""alpha"": 0.1, ""edges_added"": 740, ""edges_removed"": 699, ""graphs"": 100, ""graphs_skipped"": 0, ""graphs_success"": 100, ""method"": ""edge_addition_deletion"", ""rewires"": 0, ""triangles_affected"": 0}",0.1,0,wl_subtree_kernel_mmd,0.18500000000000003,0.4301162633521314,5.865031055910463,0.47785199300005843,2.078153610229492,success,
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 100, ""num_nodes"": 50, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_addition_deletion,"{""alpha"": 0.1, ""edges_added"": 740, ""edges_removed"": 699, ""graphs"": 100, ""graphs_skipped"": 0, ""graphs_success"": 100, ""method"": ""edge_addition_deletion"", ""rewires"": 0, ""triangles_affected"": 0}",0.1,0,netlsd_spectral_signatures,,,,0.0008426320000580745,0.0025491714477539062,failed,"Index put requires the source and destination dtypes match, got Double for the destination and Float for the source."
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 100, ""num_nodes"": 50, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_addition_deletion,"{""alpha"": 0.1, ""edges_added"": 740, ""edges_removed"": 699, ""graphs"": 100, ""graphs_skipped"": 0, ""graphs_success"": 100, ""method"": ""edge_addition_deletion"", ""rewires"": 0, ""triangles_affected"": 0}",0.1,0,diversity_curves_l2,0.00855818672383351,0.00855818672383351,0.0631749796241435,1.3132548240000688,0.2919769287109375,success,
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 100, ""num_nodes"": 50, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_addition_deletion,"{""alpha"": 0.2, ""edges_added"": 1481, ""edges_removed"": 1439, ""graphs"": 100, ""graphs_skipped"": 0, ""graphs_success"": 100, ""method"": ""edge_addition_deletion"", ""rewires"": 0, ""triangles_affected"": 0}",0.2,0,structural_statistics_mmd,0.0009493347166590338,0.6555079540442992,3.209694413049088,4.021641174000024,0.06821441650390625,success,
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 100, ""num_nodes"": 50, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_addition_deletion,"{""alpha"": 0.2, ""edges_added"": 1481, ""edges_removed"": 1439, ""graphs"": 100, ""graphs_skipped"": 0, ""graphs_success"": 100, ""method"": ""edge_addition_deletion"", ""rewires"": 0, ""triangles_affected"": 0}",0.2,0,wl_subtree_kernel_mmd,0.10280000000000025,0.32062439083762834,6.871501767424244,0.4734866520000196,2.0779972076416016,success,
