workflow,dataset,perturbation,sensitivity,monotonicity,paired_detectability,mean_shift_detectability,robustness_cv,ranking_stability_tau,relative_runtime,interpretability_score,granularity_label
diversity_curves_shortest_path,barabasi_albert,edge_deletion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,36.06982508458635,3,local
diversity_curves_shortest_path,barabasi_albert,edge_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,46.65886950456644,3,local
diversity_curves_shortest_path,barabasi_albert,hub_modification,0.8660254037844387,0.0,0.8660254037844387,0.8660254037844387,0.0,1.0,42.662833359215576,3,global
diversity_curves_shortest_path,barabasi_albert,triangle_deletion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,37.776417289397536,3,local/mesoscopic
diversity_curves_shortest_path,barabasi_albert,triangle_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,45.015412875441825,3,local/mesoscopic
diversity_curves_shortest_path,erdos_renyi,edge_deletion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,17.081606255893938,3,local
diversity_curves_shortest_path,erdos_renyi,edge_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,20.890510482610058,3,local
diversity_curves_shortest_path,erdos_renyi,hub_modification,0.8660254037844387,0.0,0.8660254037844387,0.8660254037844387,0.0,1.0,18.5703028800291,3,global
diversity_curves_shortest_path,erdos_renyi,triangle_deletion,0.0,0.0,0.0,0.0,0.0,1.0,18.518535055830828,3,local/mesoscopic
diversity_curves_shortest_path,erdos_renyi,triangle_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,19.695936234807146,3,local/mesoscopic
diversity_curves_shortest_path,stochastic_block_model,community_weakening,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,17.224984197046815,3,mesoscopic
diversity_curves_shortest_path,stochastic_block_model,edge_deletion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,13.032004214188946,3,local
diversity_curves_shortest_path,stochastic_block_model,edge_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,18.754945992997307,3,local
diversity_curves_shortest_path,stochastic_block_model,hub_modification,0.8660254037844387,0.0,0.8660254037844387,0.8660254037844387,0.0,1.0,16.218337674079496,3,global
diversity_curves_shortest_path,stochastic_block_model,triangle_deletion,0.0,0.0,0.0,0.0,0.0,1.0,16.822411137069796,3,local/mesoscopic
diversity_curves_shortest_path,stochastic_block_model,triangle_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,16.481814165225227,3,local/mesoscopic
native_netlsd,barabasi_albert,edge_deletion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,22.137342013829933,2,local
native_netlsd,barabasi_albert,edge_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,22.32018134410596,2,local
native_netlsd,barabasi_albert,hub_modification,0.8660254037844387,0.0,0.8660254037844387,0.8660254037844387,0.0,1.0,26.979455674204264,2,global
native_netlsd,barabasi_albert,triangle_deletion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,23.849616423332876,2,local/mesoscopic
native_netlsd,barabasi_albert,triangle_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,21.09822248384229,2,local/mesoscopic
native_netlsd,erdos_renyi,edge_deletion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,14.209739237744408,2,local
native_netlsd,erdos_renyi,edge_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,15.842782464374194,2,local
native_netlsd,erdos_renyi,hub_modification,0.8660254037844387,0.0,0.8660254037844387,0.8660254037844387,0.0,1.0,15.11586407367092,2,global
native_netlsd,erdos_renyi,triangle_deletion,0.0,0.0,0.0,0.0,0.0,1.0,14.691698317783453,2,local/mesoscopic
native_netlsd,erdos_renyi,triangle_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,15.36325245843875,2,local/mesoscopic
native_netlsd,stochastic_block_model,community_weakening,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,14.738511689382335,2,mesoscopic
native_netlsd,stochastic_block_model,edge_deletion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,11.406700073674578,2,local
native_netlsd,stochastic_block_model,edge_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,15.11030914824647,2,local
native_netlsd,stochastic_block_model,hub_modification,0.8660254037844387,0.0,0.8660254037844387,0.8660254037844387,0.0,1.0,13.194914918980425,2,global
native_netlsd,stochastic_block_model,triangle_deletion,0.0,0.0,0.0,0.0,0.0,1.0,13.645939979587007,2,local/mesoscopic
native_netlsd,stochastic_block_model,triangle_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,12.833946892521789,2,local/mesoscopic
structural_statistics_mmd,barabasi_albert,edge_deletion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.0,3,local
structural_statistics_mmd,barabasi_albert,edge_insertion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.0,3,local
structural_statistics_mmd,barabasi_albert,hub_modification,0.8660254037844387,0.0,0.8660254037844387,0.8660254037844387,0.0,1.0,1.0,3,global
structural_statistics_mmd,barabasi_albert,triangle_deletion,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,1.0,1.0,3,local/mesoscopic
