dataset,dataset_params,perturbation,perturbation_params,alpha,seed,workflow,implementation_mode,workflow_params,perturbation_family,perturbation_direction,graph_count,node_count_min,node_count_max,edge_count_min,edge_count_max,distribution_score,mean_shift_score,paired_score,runtime_seconds,memory_mb,status,error_message
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 5, ""num_nodes"": 8, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_insertion,"{""alpha"": 0.0, ""edges_added"": 0, ""edges_removed"": 0, ""graphs"": 5, ""graphs_skipped"": 0, ""graphs_success"": 5, ""method"": ""edge_insertion"", ""perturbation_direction"": ""insertion"", ""perturbation_family"": ""edge"", ""rewires"": 0, ""triangles_affected"": 0}",0.0,0,structural_statistics_mmd,descriptor_baseline,"{""bandwidth"": 10.0, ""feature_count"": 9, ""implementation_mode"": ""descriptor_baseline"", ""kernel"": ""rbf_mmd"", ""method"": ""structural_statistics_mmd""}",edge,insertion,5,8,8,1,6,0.0,0.0,0.0,0.001187847000437614,0.00612640380859375,success,
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 5, ""num_nodes"": 8, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_insertion,"{""alpha"": 0.0, ""edges_added"": 0, ""edges_removed"": 0, ""graphs"": 5, ""graphs_skipped"": 0, ""graphs_success"": 5, ""method"": ""edge_insertion"", ""perturbation_direction"": ""insertion"", ""perturbation_family"": ""edge"", ""rewires"": 0, ""triangles_affected"": 0}",0.0,0,wl_subtree_kernel_mmd,paper_faithful,"{""implementation_mode"": ""paper_faithful"", ""method"": ""wl_subtree_kernel_mmd"", ""wl_compression"": ""shared_canonical_dictionary_per_comparison"", ""wl_feature_construction"": ""subtree_histograms_across_iterations"", ""wl_iterations"": 3, ""wl_kernel_distance_mode"": ""linear_mmd"", ""wl_label_initialization"": ""node_label_or_degree"", ""wl_node_label_key"": ""node_labels""}",edge,insertion,5,8,8,1,6,0.0,0.0,0.0,0.00195446100042318,0.03132057189941406,success,
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 5, ""num_nodes"": 8, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_insertion,"{""alpha"": 0.0, ""edges_added"": 0, ""edges_removed"": 0, ""graphs"": 5, ""graphs_skipped"": 0, ""graphs_success"": 5, ""method"": ""edge_insertion"", ""perturbation_direction"": ""insertion"", ""perturbation_family"": ""edge"", ""rewires"": 0, ""triangles_affected"": 0}",0.0,0,native_netlsd,paper_faithful,"{""distribution_distance"": ""l2_between_mean_signatures"", ""eigenvalue_count"": ""all"", ""eigenvalue_mode"": ""full_spectrum"", ""heat_signature"": ""heat_trace"", ""implementation_mode"": ""paper_faithful"", ""laplacian_type"": ""normalized"", ""method"": ""native_netlsd"", ""netlsd_normalization"": ""empty"", ""netlsd_time_scale_count"": 250, ""netlsd_time_scale_max"": 100.0, ""netlsd_time_scale_min"": 0.01, ""netlsd_time_scale_schedule"": ""logspace""}",edge,insertion,5,8,8,1,6,0.0,0.0,0.0,0.015403294999487116,0.0926361083984375,success,
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 5, ""num_nodes"": 8, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_insertion,"{""alpha"": 0.0, ""edges_added"": 0, ""edges_removed"": 0, ""graphs"": 5, ""graphs_skipped"": 0, ""graphs_success"": 5, ""method"": ""edge_insertion"", ""perturbation_direction"": ""insertion"", ""perturbation_family"": ""edge"", ""rewires"": 0, ""triangles_affected"": 0}",0.0,0,diversity_curves_shortest_path,paper_faithful,"{""distance_metric"": ""shortest_path"", ""distribution_distance"": ""l2_between_mean_curves"", ""diversity_contraction_mode"": ""random_edge"", ""diversity_curve_definition"": ""shortest_path_spread"", ""diversity_repetitions"": 3, ""diversity_scale_count"": ""dataset_max_nodes"", ""diversity_scale_schedule"": ""all_integer_cardinalities"", ""diversity_upsampling_enabled"": true, ""implementation_mode"": ""paper_faithful"", ""method"": ""diversity_curves_shortest_path"", ""random_seed"": 0}",edge,insertion,5,8,8,1,6,0.0,0.0,0.0,0.01978557699931116,0.020295143127441406,success,
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 5, ""num_nodes"": 8, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_insertion,"{""alpha"": 0.5, ""edges_added"": 6, ""edges_removed"": 0, ""graphs"": 5, ""graphs_skipped"": 0, ""graphs_success"": 5, ""method"": ""edge_insertion"", ""perturbation_direction"": ""insertion"", ""perturbation_family"": ""edge"", ""rewires"": 0, ""triangles_affected"": 0}",0.5,0,structural_statistics_mmd,descriptor_baseline,"{""bandwidth"": 10.0, ""feature_count"": 9, ""implementation_mode"": ""descriptor_baseline"", ""kernel"": ""rbf_mmd"", ""method"": ""structural_statistics_mmd""}",edge,insertion,5,8,8,1,9,0.01758307987966612,1.4925613932001778,1.5689842767712086,0.0010211730004812125,0.004364013671875,success,
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 5, ""num_nodes"": 8, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_insertion,"{""alpha"": 0.5, ""edges_added"": 6, ""edges_removed"": 0, ""graphs"": 5, ""graphs_skipped"": 0, ""graphs_success"": 5, ""method"": ""edge_insertion"", ""perturbation_direction"": ""insertion"", ""perturbation_family"": ""edge"", ""rewires"": 0, ""triangles_affected"": 0}",0.5,0,wl_subtree_kernel_mmd,paper_faithful,"{""implementation_mode"": ""paper_faithful"", ""method"": ""wl_subtree_kernel_mmd"", ""wl_compression"": ""shared_canonical_dictionary_per_comparison"", ""wl_feature_construction"": ""subtree_histograms_across_iterations"", ""wl_iterations"": 3, ""wl_kernel_distance_mode"": ""linear_mmd"", ""wl_label_initialization"": ""node_label_or_degree"", ""wl_node_label_key"": ""node_labels""}",edge,insertion,5,8,8,1,9,8.320000000000002,2.8844410203711917,6.459931800807212,0.0018544820004535723,0.023647308349609375,success,
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 5, ""num_nodes"": 8, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_insertion,"{""alpha"": 0.5, ""edges_added"": 6, ""edges_removed"": 0, ""graphs"": 5, ""graphs_skipped"": 0, ""graphs_success"": 5, ""method"": ""edge_insertion"", ""perturbation_direction"": ""insertion"", ""perturbation_family"": ""edge"", ""rewires"": 0, ""triangles_affected"": 0}",0.5,0,native_netlsd,paper_faithful,"{""distribution_distance"": ""l2_between_mean_signatures"", ""eigenvalue_count"": ""all"", ""eigenvalue_mode"": ""full_spectrum"", ""heat_signature"": ""heat_trace"", ""implementation_mode"": ""paper_faithful"", ""laplacian_type"": ""normalized"", ""method"": ""native_netlsd"", ""netlsd_normalization"": ""empty"", ""netlsd_time_scale_count"": 250, ""netlsd_time_scale_max"": 100.0, ""netlsd_time_scale_min"": 0.01, ""netlsd_time_scale_schedule"": ""logspace""}",edge,insertion,5,8,8,1,9,1.0386528758666451,1.0386528758666451,1.0491261768859927,0.01677010799994605,0.09220123291015625,success,
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 5, ""num_nodes"": 8, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_insertion,"{""alpha"": 0.5, ""edges_added"": 6, ""edges_removed"": 0, ""graphs"": 5, ""graphs_skipped"": 0, ""graphs_success"": 5, ""method"": ""edge_insertion"", ""perturbation_direction"": ""insertion"", ""perturbation_family"": ""edge"", ""rewires"": 0, ""triangles_affected"": 0}",0.5,0,diversity_curves_shortest_path,paper_faithful,"{""distance_metric"": ""shortest_path"", ""distribution_distance"": ""l2_between_mean_curves"", ""diversity_contraction_mode"": ""random_edge"", ""diversity_curve_definition"": ""shortest_path_spread"", ""diversity_repetitions"": 3, ""diversity_scale_count"": ""dataset_max_nodes"", ""diversity_scale_schedule"": ""all_integer_cardinalities"", ""diversity_upsampling_enabled"": true, ""implementation_mode"": ""paper_faithful"", ""method"": ""diversity_curves_shortest_path"", ""random_seed"": 0}",edge,insertion,5,8,8,1,9,0.9733174903095465,0.9733174903095465,1.0218803342816574,0.02334900700043363,0.016010284423828125,success,
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 5, ""num_nodes"": 8, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_insertion,"{""alpha"": 1.0, ""edges_added"": 15, ""edges_removed"": 0, ""graphs"": 5, ""graphs_skipped"": 0, ""graphs_success"": 5, ""method"": ""edge_insertion"", ""perturbation_direction"": ""insertion"", ""perturbation_family"": ""edge"", ""rewires"": 0, ""triangles_affected"": 0}",1.0,0,structural_statistics_mmd,descriptor_baseline,"{""bandwidth"": 10.0, ""feature_count"": 9, ""implementation_mode"": ""descriptor_baseline"", ""kernel"": ""rbf_mmd"", ""method"": ""structural_statistics_mmd""}",edge,insertion,5,8,8,1,12,0.09809851101023792,3.6876399440061434,3.9137823562720713,0.0011854120002681157,0.00437164306640625,success,
erdos_renyi,"{""edge_probability"": 0.12, ""family"": ""erdos_renyi"", ""m"": 2, ""num_blocks"": 3, ""num_graphs"": 5, ""num_nodes"": 8, ""p_in"": 0.25, ""p_out"": 0.03, ""seed"": 0}",edge_insertion,"{""alpha"": 1.0, ""edges_added"": 15, ""edges_removed"": 0, ""graphs"": 5, ""graphs_skipped"": 0, ""graphs_success"": 5, ""method"": ""edge_insertion"", ""perturbation_direction"": ""insertion"", ""perturbation_family"": ""edge"", ""rewires"": 0, ""triangles_affected"": 0}",1.0,0,wl_subtree_kernel_mmd,paper_faithful,"{""implementation_mode"": ""paper_faithful"", ""method"": ""wl_subtree_kernel_mmd"", ""wl_compression"": ""shared_canonical_dictionary_per_comparison"", ""wl_feature_construction"": ""subtree_histograms_across_iterations"", ""wl_iterations"": 3, ""wl_kernel_distance_mode"": ""linear_mmd"", ""wl_label_initialization"": ""node_label_or_degree"", ""wl_node_label_key"": ""node_labels""}",edge,insertion,5,8,8,1,12,24.560000000000006,4.955804677345547,8.29985287215936,0.0028125960006946116,0.03008270263671875,success,
