dataset,perturbation,cause,mean_edit_distance_raw,max_edit_distance_raw,best_workflow,best_sensitivity,monotonicity,robustness_cv,note
barabasi_albert,community_weakening,ok,62.3282,114.66,structural_statistics_mmd,0.9863,0.0,0.1222,"sensitivity=0.99, cv=0.12"
barabasi_albert,edge_deletion,ok,52.9,97.0,diversity_curves_shortest_path,0.9962,0.0,0.0025,"sensitivity=1.00, cv=0.00"
barabasi_albert,edge_insertion,ok,52.9,97.0,diversity_curves_shortest_path,0.9962,0.0,0.0114,"sensitivity=1.00, cv=0.01"
barabasi_albert,hub_modification,ok,82.2072,107.5567,native_netlsd,0.8779,0.1,0.0645,"sensitivity=0.88, cv=0.06"
barabasi_albert,triangle_deletion,ok,34.3426,41.8504,native_netlsd,0.8997,0.0,0.0269,"sensitivity=0.90, cv=0.03"
barabasi_albert,triangle_insertion,ok,52.9,97.0,diversity_curves_shortest_path,0.9962,0.0,0.0118,"sensitivity=1.00, cv=0.01"
erdos_renyi,community_weakening,unstable,85.1187,156.0958,wl_subtree_kernel_mmd,0.4907,0.5,0.0843,"monotonicity=0.50, cv=0.08"
erdos_renyi,edge_deletion,ok,80.6208,147.2479,diversity_curves_shortest_path,0.9962,0.0,0.0038,"sensitivity=1.00, cv=0.00"
erdos_renyi,edge_insertion,ok,80.6208,147.2479,wl_subtree_kernel_mmd,0.9962,0.0,0.0177,"sensitivity=1.00, cv=0.02"
erdos_renyi,hub_modification,unstable,82.3129,92.7992,structural_statistics_mmd,0.5066,0.0,0.4057,"monotonicity=0.00, cv=0.41"
erdos_renyi,triangle_deletion,ok,58.3445,74.0371,native_netlsd,0.9313,0.0,0.0405,"sensitivity=0.93, cv=0.04"
erdos_renyi,triangle_insertion,ok,80.6208,147.2479,diversity_curves_shortest_path,0.9962,0.0,0.0082,"sensitivity=1.00, cv=0.01"
stochastic_block_model,community_weakening,ok,88.1526,161.6325,structural_statistics_mmd,0.8879,0.1,0.1225,"sensitivity=0.89, cv=0.12"
stochastic_block_model,edge_deletion,ok,64.7037,118.3083,diversity_curves_shortest_path,0.9962,0.0,0.0035,"sensitivity=1.00, cv=0.00"
stochastic_block_model,edge_insertion,ok,64.7037,118.3083,wl_subtree_kernel_mmd,0.9962,0.0,0.0248,"sensitivity=1.00, cv=0.02"
stochastic_block_model,hub_modification,ok,67.0201,75.885,wl_subtree_kernel_mmd,0.5853,0.1,0.0697,"sensitivity=0.59, cv=0.07"
stochastic_block_model,triangle_deletion,ok,46.2142,58.4,native_netlsd,0.9251,0.0,0.0432,"sensitivity=0.93, cv=0.04"
stochastic_block_model,triangle_insertion,ok,64.7037,118.3083,diversity_curves_shortest_path,0.9962,0.0,0.01,"sensitivity=1.00, cv=0.01"
